id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16728573,2 x kingle single room and  or Queen Room,1423099,Margherita,,Wyndham,-37.85688132014817,144.74761873007256,Private room,52,2,4,2017-03-15,1.97,2,323
10685491,"Modern, Sunny and Fully Furnished",55202209,Julius (Anton),,Wyndham,-37.843808014890875,144.66931317492686,Private room,26,1,17,2017-03-16,1.16,1,333
17796419,A tranquil room for a tranquil stay,114775952,Mannat And Nitin,,Wyndham,-37.89352177988791,144.65876106595763,Private room,46,1,1,2017-03-26,1,3,362
12234053,Brand New Room with Own AC/Heater,1681836,Cynthia,,Wyndham,-37.842630758866086,144.7246625622318,Private room,35,2,2,2016-05-01,0.17,1,276
10522034,Old World Central Oasis Retreat,54249658,Raelene,,Wyndham,-37.89775961862176,144.6641493414029,Private room,93,1,0,,,1,0
16648160,22 mins to Airport CBD next to Lux House,92196966,Alex,,Wyndham,-37.88454166487558,144.73251540619708,Entire home/apt,414,3,2,2017-03-28,0.70,2,359
13143660,Comfortable and modern bedroom for you!,549667,Vassy,,Wyndham,-37.902038119736524,144.61528134431086,Private room,66,2,9,2017-02-08,0.91,2,365
16977544,3 avail bedrooms in brand new home!,53673880,Ashley,,Wyndham,-37.91847439146668,144.74820822323736,Private room,50,1,2,2017-03-24,1.50,1,344
18026412,位于wyndham vale环境优美house -1,77994373,Jessie,,Wyndham,-37.887034326315394,144.61504139264798,Private room,31,1,0,,,3,177
6230256,Lovely townhouse in a golf premises,32323340,June,,Wyndham,-37.89392611966089,144.7608901386116,Private room,80,1,0,,,1,365
17969308,"Quiet, fully equipt room in a friendly home",2046336,Marissa,,Wyndham,-37.87132821512231,144.5933674934184,Entire home/apt,79,1,0,,,1,173
5907584,Cheyenne Room @ Westbourne Manor,30581042,Loida,,Wyndham,-37.85620525296774,144.74649163621248,Private room,60,3,0,,,4,364
