Scientific Name,Common Name,Current Scientific Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Current SPRAT TaxonID,Kingdom,Class,Profile,Date extracted,NSL Name,Family,Genus,Species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author
"Trithuria occidentalis","Swan Hydatella","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","42224","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=42224","2017-May-11","http://id.biodiversity.org.au/name/apni/88473","Hydatellaceae","Trithuria","occidentalis","-","-","Benth.","-"
"Euphorbia obliqua","a herb","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","Yes","-","-","-","44385","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=44385","2017-May-11","http://id.biodiversity.org.au/name/apni/93249","Euphorbiaceae","Euphorbia","obliqua","-","-","Endl.","-"
"Kennedia lateritia","Augusta Kennedia","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","45985","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=45985","2017-May-11","http://id.biodiversity.org.au/name/apni/96785","Fabaceae","Kennedia","lateritia","-","-","F.Muell.","-"
"Zeuxine polygonoides","Velvet Jewel Orchid","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","46794","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=46794","2017-May-11","http://id.biodiversity.org.au/name/apni/98505","Orchidaceae","Zeuxine","polygonoides","-","-","(F.Muell.) P.J.Cribb","-"
"Calochilus cupreus","Copper Beard Orchid","-","Critically Endangered","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","46998","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=46998","2017-May-11","http://id.biodiversity.org.au/name/apni/98986","Orchidaceae","Calochilus","cupreus","-","-","R.S.Rogers","-"
"Pittosporum bracteolatum","Oleander","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","-","-","Yes","-","-","-","47181","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=47181","2017-May-11","http://id.biodiversity.org.au/name/apni/99408","Pittosporaceae","Pittosporum","bracteolatum","-","-","Endl.","-"
"Xylosma parvifolia","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48040","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=48040","2017-May-11","http://id.biodiversity.org.au/name/apni/101452","Salicaceae","Xylosma","parvifolia","-","-","Jessup","-"
"Calystegia affinis","-","-","Critically Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","Yes","-","-","-","48909","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=48909","2017-May-11","http://id.biodiversity.org.au/name/apni/103196","Convolvulaceae","Calystegia","affinis","-","-","Endl.","-"
"Lobelia gelida","-","-","Vulnerable","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","49983","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=49983","2017-May-11","http://id.biodiversity.org.au/name/apni/105591","Campanulaceae","Lobelia","gelida","-","-","F.Muell.","-"
"Myoporum obscurum","Popwood, Sandalwood, Bastard Ironwood","-","Critically Endangered","-","-","-","-","-","-","-","-","-","-","-","-","-","Yes","-","-","-","50255","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=50255","2017-May-11","http://id.biodiversity.org.au/name/apni/106062","Myoporaceae","Myoporum","obscurum","-","-","Endl.","-"
"Ozothamnus selaginoides","Clubmoss Everlasting, Table Mountain Daisy Bush","-","Extinct","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","52454","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=52454","2017-May-11","http://id.biodiversity.org.au/name/apni/110735","Asteraceae","Ozothamnus","selaginoides","-","-","Sonder","-"
"Prostanthera schultzii","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","52651","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=52651","2017-May-11","http://id.biodiversity.org.au/name/apni/111141","Lamiaceae","Prostanthera","schultzii","-","-","F.Muell. ex Tate","-"
"Endiandra cooperana","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","52889","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=52889","2017-May-11","http://id.biodiversity.org.au/name/apni/111618","Lauraceae","Endiandra","cooperana","-","-","B.Hyland","-"
"Endiandra floydii","Floyd's Walnut","-","Endangered","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","52955","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=52955","2017-May-11","http://id.biodiversity.org.au/name/apni/111743","Lauraceae","Endiandra","floydii","-","-","B.Hyland","-"
"Caladenia argocalla","White-beauty Spider-orchid","-","Endangered","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","54991","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54991","2017-May-11","http://id.biodiversity.org.au/name/apni/117351","Orchidaceae","Caladenia","argocalla","-","-","D.L.Jones","-"
"Caladenia brumalis","Winter Spider-orchid","-","Vulnerable","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","54993","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54993","2017-May-11","http://id.biodiversity.org.au/name/apni/117353","Orchidaceae","Caladenia","brumalis","-","-","D.L.Jones","-"
"Caladenia colorata","Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid","-","Endangered","-","-","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","54999","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54999","2017-May-11","http://id.biodiversity.org.au/name/apni/117359","Orchidaceae","Caladenia","colorata","-","-","D.L.Jones","-"
"Caladenia conferta","Coast Spider-orchid","-","Endangered","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","55000","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55000","2017-May-11","http://id.biodiversity.org.au/name/apni/117360","Orchidaceae","Caladenia","conferta","-","-","D.L.Jones","-"
"Caladenia macroclavia","Large-club Spider-orchid","-","Endangered","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","55012","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55012","2017-May-11","http://id.biodiversity.org.au/name/apni/117373","Orchidaceae","Caladenia","macroclavia","-","-","D.L.Jones","-"
"Caladenia richardsiorum","Little Dip Spider-orchid","-","Endangered","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","55018","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55018","2017-May-11","http://id.biodiversity.org.au/name/apni/117379","Orchidaceae","Caladenia","richardsiorum","-","-","D.L.Jones","-"
"Caladenia woolcockiorum","Woolcock's Spider-orchid","-","Vulnerable","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","55023","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55023","2017-May-11","http://id.biodiversity.org.au/name/apni/117384","Orchidaceae","Caladenia","woolcockiorum","-","-","D.L.Jones","-"
"Caladenia xantholeuca","White Rabbits, Flinders Ranges White Caladenia","-","Endangered","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","55025","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55025","2017-May-11","http://id.biodiversity.org.au/name/apni/117386","Orchidaceae","Caladenia","xantholeuca","-","-","D.L.Jones","-"
"Corybas dentatus","Toothed Helmet-orchid, Finniss Helmet-orchid","-","Vulnerable","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","55042","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55042","2017-May-11","http://id.biodiversity.org.au/name/apni/117403","Orchidaceae","Corybas","dentatus","-","-","D.L.Jones","-"
"Dipodium campanulatum","Bell Flower Hyacinth Orchid","-","Endangered","-","-","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","55051","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55051","2017-May-11","http://id.biodiversity.org.au/name/apni/117414","Orchidaceae","Dipodium","campanulatum","-","-","D.L.Jones","-"
"Daviesia laevis","Grampians Bitter-pea","-","Vulnerable","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","55052","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55052","2017-May-11","http://id.biodiversity.org.au/name/apni/117415","Fabaceae","Daviesia","laevis","-","-","Crisp","-"
"Diuris flavescens","Pale Yellow Doubletail, Wingham Doubletail","-","Critically Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55075","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55075","2017-May-11","http://id.biodiversity.org.au/name/apni/117438","Orchidaceae","Diuris","flavescens","-","-","D.L.Jones","-"
"Diuris micrantha","Dwarf Bee-orchid","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55082","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55082","2017-May-11","http://id.biodiversity.org.au/name/apni/117445","Orchidaceae","Diuris","micrantha","-","-","D.L.Jones","-"
"Diuris praecox","Newcastle Doubletail","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55086","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55086","2017-May-11","http://id.biodiversity.org.au/name/apni/117449","Orchidaceae","Diuris","praecox","-","-","D.L.Jones","-"
"Acacia porcata","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55115","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55115","2017-May-11","http://id.biodiversity.org.au/name/apni/117478","Fabaceae","Acacia","porcata","-","-","P.I.Forst.","-"
"Genoplesium rhyoliticum","Pambula Midge-orchid","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55116","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55116","2017-May-11","http://id.biodiversity.org.au/name/apni/117479","Orchidaceae","Genoplesium","rhyoliticum","-","-","D.L.Jones","-"
"Genoplesium tectum","Cardwell Midge Orchid","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55130","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55130","2017-May-11","http://id.biodiversity.org.au/name/apni/117494","Orchidaceae","Genoplesium","tectum","-","-","D.L.Jones","-"
"Prasophyllum petilum","Tarengo Leek Orchid","-","Endangered","Yes","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55144","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55144","2017-May-11","http://id.biodiversity.org.au/name/apni/117510","Orchidaceae","Prasophyllum","petilum","-","-","D.L.Jones  R.J.Bates","-"
"Eucalyptus infera","Durikai Mallee","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55145","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55145","2017-May-11","http://id.biodiversity.org.au/name/apni/117511","Myrtaceae","Eucalyptus","infera","-","-","A.R.Bean","-"
"Prasophyllum spicatum","Dense Leek-orchid","-","Vulnerable","-","-","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","55146","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55146","2017-May-11","http://id.biodiversity.org.au/name/apni/117512","Orchidaceae","Prasophyllum","spicatum","-","-","R.J.Bates  D.L.Jones","-"
"Prasophyllum wallum","Wallum Leek-orchid","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55148","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55148","2017-May-11","http://id.biodiversity.org.au/name/apni/117514","Orchidaceae","Prasophyllum","wallum","-","-","R.Bates  D.L.Jones","-"
"Pomaderris clivicola","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55151","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55151","2017-May-11","http://id.biodiversity.org.au/name/apni/117517","Rhamnaceae","Pomaderris","clivicola","-","-","E.M.Ross","-"
"Homoranthus decumbens","a shrub","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55186","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55186","2017-May-11","http://id.biodiversity.org.au/name/apni/117555","Myrtaceae","Homoranthus","decumbens","-","-","(Byrnes) Craven  S.R.Jones","-"
"Homoranthus lunatus","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55189","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55189","2017-May-11","http://id.biodiversity.org.au/name/apni/117558","Myrtaceae","Homoranthus","lunatus","-","-","Craven  S.R.Jones","-"
"Homoranthus porteri","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55196","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55196","2017-May-11","http://id.biodiversity.org.au/name/apni/117565","Myrtaceae","Homoranthus","porteri","-","-","(C.T.White) Craven  S.R.Jones","-"
"Homoranthus prolixus","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55198","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55198","2017-May-11","http://id.biodiversity.org.au/name/apni/117569","Myrtaceae","Homoranthus","prolixus","-","-","Craven  S.R.Jones","-"
"Amperea xiphoclada var. pedicellata","-","-","Extinct","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55225","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55225","2017-May-11","http://id.biodiversity.org.au/name/apni/117602","Euphorbiaceae","Amperea","xiphoclada","var.","pedicellata","-","R.J.F.Hend."
"Tylophora linearis","-","-","Endangered","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55231","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55231","2017-May-11","http://id.biodiversity.org.au/name/apni/117609","Apocynaceae","Tylophora","linearis","-","-","P.I.Forst.","-"
"Tylophora rupicola","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55237","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55237","2017-May-11","http://id.biodiversity.org.au/name/apni/117615","Apocynaceae","Tylophora","rupicola","-","-","P.I.Forst.","-"
"Senecio evansianus","a daisy","-","Endangered","-","-","-","-","-","-","-","-","-","-","-","-","-","Yes","-","-","-","55340","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55340","2017-May-11","http://id.biodiversity.org.au/name/apni/117751","Asteraceae","Senecio","evansianus","-","-","Belcher","-"
"Senecio hooglandii","a daisy","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","-","-","Yes","-","-","-","55346","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55346","2017-May-11","http://id.biodiversity.org.au/name/apni/117757","Asteraceae","Senecio","hooglandii","-","-","Belcher","-"
"Acacia praemorsa","Senna Wattle","-","Vulnerable","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","55363","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55363","2017-May-11","http://id.biodiversity.org.au/name/apni/117775","Fabaceae","Acacia","praemorsa","-","-","P.J.Lang  B.R.Maslin","-"
"Calotis moorei","Moore's Burr-daisy","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55381","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55381","2017-May-11","http://id.biodiversity.org.au/name/apni/117798","Asteraceae","Calotis","moorei","-","-","P.S.Short","-"
"Eucalyptus strzeleckii","Strzelecki Gum","-","Vulnerable","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","55400","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55400","2017-May-11","http://id.biodiversity.org.au/name/apni/117815","Myrtaceae","Eucalyptus","strzeleckii","-","-","K.Rule","-"
"Macrozamia lomandroides","cycad","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55406","-","Plantae","Cycadatae","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55406","2017-May-11","http://id.biodiversity.org.au/name/apni/117819","Zamiaceae","Macrozamia","lomandroides","-","-","D.L.Jones","-"
"Atalaya collina","Yarwun Whitewood","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55417","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55417","2017-May-11","http://id.biodiversity.org.au/name/apni/117828","Sapindaceae","Atalaya","collina","-","-","S.T.Reynolds","-"
"Hoya australis subsp. oramicola","a vine","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55436","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55436","2017-May-11","http://id.biodiversity.org.au/name/apni/117844","Asclepiadaceae","Hoya","australis","subsp.","oramicola","-","P.I.Forst.  D.Liddle"
"Graptophyllum reticulatum","Veiny Graptophyllum","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55459","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55459","2017-May-11","http://id.biodiversity.org.au/name/apni/117866","Acanthaceae","Graptophyllum","reticulatum","-","-","A.R.Bean  Sharpe","-"
"Caladenia xanthochila","Yellow-lip Spider-orchid","-","Endangered","-","Yes","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","55509","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55509","2017-May-11","http://id.biodiversity.org.au/name/apni/117925","Orchidaceae","Caladenia","xanthochila","-","-","D.Beardsell  C.Beardsell","-"
"Paspalum batianoffii","-","-","Extinct","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55516","-","Plantae","Liliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55516","2017-May-11","http://id.biodiversity.org.au/name/apni/117926","Poaceae","Paspalum","batianoffii","-","-","B.K.Simon","-"
"Grevillea brachystylis subsp. australis","-","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55525","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55525","2017-May-11","http://id.biodiversity.org.au/name/apni/117935","Proteaceae","Grevillea","brachystylis","subsp.","australis","-","Keighery"
"Acacia awestoniana","Stirling Range Wattle","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55562","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55562","2017-May-11","http://id.biodiversity.org.au/name/apni/117973","Fabaceae","Acacia","awestoniana","-","-","R.S.Cowan  Maslin","-"
"Acacia lobulata","Chiddarcooping Wattle","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55567","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55567","2017-May-11","http://id.biodiversity.org.au/name/apni/117978","Fabaceae","Acacia","lobulata","-","-","R.S.Cowan  Maslin","-"
"Acacia lanuginophylla","Woolly Wattle","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55575","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55575","2017-May-11","http://id.biodiversity.org.au/name/apni/117986","Fabaceae","Acacia","lanuginophylla","-","-","R.S.Cowan and Maslin","-"
"Callistemon pungens","-","-","Vulnerable","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55581","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55581","2017-May-11","http://id.biodiversity.org.au/name/apni/97516","Myrtaceae","Callistemon","pungens","-","-","G.Don","-"
"Acacia unguicula","a shrub","-","Critically Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55592","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55592","2017-May-11","http://id.biodiversity.org.au/name/apni/118005","Fabaceae","Acacia","unguicula","-","-","R.S.Cowan  Maslin","-"
"Acacia brachypoda","Western Wheatbelt Wattle","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55594","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55594","2017-May-11","http://id.biodiversity.org.au/name/apni/118007","Fabaceae","Acacia","brachypoda","-","-","Maslin","-"
"Macadamia jansenii","Bulberin Nut, Bulburin Nut Tree","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55597","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55597","2017-May-11","http://id.biodiversity.org.au/name/apni/118010","Proteaceae","Macadamia","jansenii","-","-","C.L.Gross  P.H.Weston","-"
"Verticordia albida","White Featherflower","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55635","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55635","2017-May-11","http://id.biodiversity.org.au/name/apni/118077","Myrtaceae","Verticordia","albida","-","-","A.S.George","-"
"Verticordia crebra","-","-","Vulnerable","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55678","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55678","2017-May-11","http://id.biodiversity.org.au/name/apni/118117","Myrtaceae","Verticordia","crebra","-","-","A.S.George","-"
"Verticordia densiflora var. pedunculata","Long-stalked Featherflower","-","Endangered","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","55689","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55689","2017-May-11","http://id.biodiversity.org.au/name/apni/118129","Myrtaceae","Verticordia","densiflora","var.","pedunculata","-","A.S.George"
"Plectranthus torrenticola","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55728","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55728","2017-May-11","http://id.biodiversity.org.au/name/apni/118173","Lamiaceae","Plectranthus","torrenticola","-","-","P.I.Forster","-"
"Plectranthus omissus","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55729","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55729","2017-May-11","http://id.biodiversity.org.au/name/apni/118174","Lamiaceae","Plectranthus","omissus","-","-","P.I.Forster","-"
"Plectranthus nitidus","Nightcap Plectranthus, Silver Plectranthus","-","Endangered","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55742","-","Plantae","Magnoliopsida","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55742","2017-May-11","http://id.biodiversity.org.au/name/apni/118187","Lamiaceae","Plectranthus","nitidus","-","-","P.I.Forst.","-"
"Cycas silvestris","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55778","-","Plantae","Cycadatae","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55778","2017-May-11","http://id.biodiversity.org.au/name/apni/118227","Cycadaceae","Cycas","silvestris","-","-","K.Hill","-"
"Cycas megacarpa","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55794","-","Plantae","Cycadatae","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55794","2017-May-11","http://id.biodiversity.org.au/name/apni/118243","Cycadaceae","Cycas","megacarpa","-","-","K.Hill","-"
"Cycas platyphylla","a cycad","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55796","-","Plantae","Cycadatae","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55796","2017-May-11","http://id.biodiversity.org.au/name/apni/118245","Cycadaceae","Cycas","platyphylla","-","-","K.Hill","-"
"Cycas ophiolitica","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","55797","-","Plantae","Cycadatae","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55797","2017-May-11","http://id.biodiversity.org.au/name/apni/118246","Cycadaceae","Cycas","ophiolitica","-","-","K.D.Hill","-"
